,item,originLabel,cultureLabel,ethnic_groupLabel,off_languageLabel,nameLabel,movementLabel,genreLabel,main_subjectLabel,memorializedLabel,sign_eventLabel,narrative_locLabel,countryLabel,taxonLabel,jurisdictionLabel,based_onLabel,part_ofLabel,native_labelLabel,cuisineLabel,areaLabel,used_byLabel,useLabel,political_ideoLabel,religionLabel,political_partyLabel,participant_inLabel,endemicLabel,indigenousLabel,country_sportLabel,subclass_ofLabel
1025,Q2944356,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1026,Q852031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geographic location
1027,Q738570,,,,,,,,,,,,,,,,city,,,,,,,,,,,,,neighborhood
1028,Q1320217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,government
1029,Q1802419,,,,,,,,,,,,,,,,federation,,,,,,,,,,,,,government
1030,Q2903101,,,,,,,,,,,,Israel,,,,Map of Israeli Archives,הארכיון הציוני המרכזי,,,,,,,,,,,,
1031,Q5100384,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
1032,Q3664664,,,,,,,,,,,,Switzerland,,,,,,,,,,,,,,,,,
1033,Q2946179,,,,,,,,art,,,,Italy,,,,,,,,,,,,,,,,,
1034,Q871347,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,
1035,Q25964553,,,,,,,,ceramic art,,,,,,,,,,,,,,,,,,,,,museum
1036,Q29033,,,,,,,,,,,,,redbud,,,,,,,,,,,,,,,,tree
1037,Q3595906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dance
1038,Q5064231,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
1039,Q18730,,,,,,,,,,,,Albania,,,,,Cërriku,,,,,,,,,,,,
1040,Q177318,,,,,,,,,,,,Uruguay,,,,,,,,,,,,,,,,,
1041,Q367912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Q213848,,,,,,Expressionism,,,,,,,,,,,,,,,,,,,,,,,
1043,Q111317655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,folk dance
1044,Q1906859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence
1045,Q5068086,,,,,,,,,,,,,,New Zealand Legislative Council,,,,,,,,,,,,,,,politician
1046,Q936218,Algeria,,,,,,,,,,,Algeria,,,,,,,,,,,,,,,,,food
1047,Q78933,,,,,,,hip-hop,,,,,,,,,,,,,,,,,,,,,,
1048,Q1060475,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,folk dance
1049,Q5069560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Q5070230,,,,,,,,,,,,Peru,,,,Peruvian cuisine,,,,,,,,,,,,,non-alcoholic beverage
1051,Q373085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
1052,Q539901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Q5071736,,,,,,,,,,,,People's Republic of China,,,,,,,,,,,,,,,,,
1054,Q5072402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drink
1055,Q13391399,,,,,,,,,,,,,,,,,chansonnier,,,,,,,,,,,,poet
1056,Q5072923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building
1057,Q1062722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,folk dance
1058,Q5073533,,,,,,,,,,,,South Africa,,,,,,,,,,,,,,,,,government agency
1059,Q16826311,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,musical group
1060,Q2005853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musical group
1061,Q3361987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musical group
1062,Q663109,,,,,,,oral literature,,,,,,,,,,,,,,,,,,,,,,theatre art
1063,Q361106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Q501,,,,,,Symbolism,elegy,,,,,,,,,,,,,,,,Catholicism,,,,,,
1065,Q2540014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,Q16961108,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1067,Q882,,,,,,,documentary film,,,marriage,,,,,,,,,,,,,,,,,,,
1068,Q2048495,,,,,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,literary award
1069,Q213735,,,,,,Expressionism,,,,The Holocaust,,,,,,,,,,,,,,,dOCUMENTA (13),,,,
1070,Q913532,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,jinete
1071,Q1067824,,,,,,,,,,,,Malaysia,,,,,,,,,,,,,,,,,
1072,Q946790,,,,,,,,,,,,,,,,,茶室,,,,Japanese tea ceremony,,,,,,,,architectural style
1073,Q5087505,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1074,Q5118799,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,
1075,Q5087549,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1076,Q470013,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,
1077,Q3222589,India,,,,,,,,,,,,,,,Indian cuisine,,,,,,,,,,,,,cooking technique
1078,Q5088951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sport
1079,Q2961954,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1080,Q28971125,,,,,,,,,,,,,,,,cheerleading squad,,,,,,,,,,,,,athlete
1081,Q861293,United Kingdom,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,food
1082,Q2621157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,textile
1083,Q3499072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cook
1084,Q47594,,,African Americans,,,,,,,,,,,,,,,,,,,,Islam,,,,,,
1085,Q2962026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cook
1086,Q378181,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,
1087,Q4508312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clothing
1088,Q871991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plantae
1089,Q98969631,Japan,,,,Japanese,,,,,,,,,,,,,,,,,,,,,,,,
1090,Q276056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Q1896682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports club
1092,Q10873124,,,,,,,,,,,,,,,,chess terminology,,,,,,,,,,,,,athlete
1093,Q772494,,,,,,,jazz,,,,,United States,,,,,,,,,,,,,,,,,
1094,Q4521974,,,,,,,,,,,,,,,,,,,,,suit,,,,,,,,suiting
1095,Q540794,,,,,,,,,Chiang Kai-shek,,,Taiwan,,,,,國立中正紀念堂,,,,,,,,,,,,
1096,Q85751888,United States,,,,English,,,,,,,,,,,,,,,,,,,,,,,,
1097,Q628699,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1098,Q286647,Peru,,,,,,,,,,,Peru,,,,Peruvian cuisine,,Peruvian cuisine,,,,,,,,,,,drink
1099,Q477756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,literature
1100,Q2548408,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,India,,dish
1101,Q7603655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,architect
1102,Q5096974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer
1103,Q1440839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cook
1104,Q970153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,child
1105,Q3286047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,child
1106,Q941704,,,,,,,,,,,,United States,,United States,,,,,,,,,,,,,,,
1107,Q5097775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,government agency
1108,Q6565342,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,,,literary award
1109,Q4853732,,,,,,,children's book,,,,,,,,,,,,,,,,,,,,,,writer
1110,Q2893373,,,,,,,,,,,,Chile,,,,,,,,,,,,,,,,,
1111,Q863794,Mexico,,,,,,,,,,,,,,,,chili con carne,Tex-Mex,,,,,,,,,,,stew
1112,Q11212541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plantae
1113,Q5099574,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1114,Q23149,,,,,,,,,,,,People's Republic of China,,,,,,,,,,,,,,,,,
1115,Q1056441,,,,,,,,,,,,People's Republic of China,,,,,,,,,,,,,,,,,
1116,Q5100354,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,
1117,Q5100735,China,,,,,,,,,,,China,,,,,,,,,,,,,,,,,clothing
1118,Q1069928,,,,,,,,,,,,,,,,Chinese literature,,,,,,,,,,,,,poetry
1119,Q5100949,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,tea
1120,Q786466,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Q4509,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,,,,
1122,Q133017,,,,,,,,,,,,,クロレラ属,,,,,,,,,,,,,,,,
1123,Q1075516,,,,,,,,,,,,Malaysia,,,,,,,,,,,,,,,,,
1124,Q5103493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drink
1125,Q30186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cake
1126,Q202989,Italy,,,,,,,,,,,,,,,,Salame di cioccolato,,,,,,,,,,,,dessert
1127,Q2451463,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,dish
1128,Q5105016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drama
1129,Q2088593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cartography
1130,Q532942,Peru,,,,,,,,,,,Chile,,,,Peruvian cuisine,,,,,,,,,,,,,food
1131,Q732277,,,,,,Northern Renaissance,religious art,Crowning with Thorns,,,,Spain,,,,,,,,,,,Christianity,,,,,,
1132,Q169228,,,,,,,,,,,,Greece,,,,,,,,,,democratic socialism,,,,,,,
1133,Q63484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Q64331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Q5110343,,,,,,,Christian music,,,,,,,,,,,,,,,,,,,,,,music festival
1136,Q43758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Q24947338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Q55635660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philosophy
1139,Q5110396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tradition
1140,Q97129,,,,,,,,,,,,,,,,,,,,,,,,Social Democratic Party of Germany,,,,,
1141,Q71319,,,,,,,,,,,,,,,,,,,,,,,Lutheranism,,,,,,
1142,Q1078671,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,literary award
1143,Q680794,United States,,,,English,,,,,,,United States,,,,,,,,,,,,,,,,,
1144,Q717040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tradition
1145,Q97211,,,,,,,,,,,,,,,,,,,,,,,Lutheranism,,,,,,
1146,Q5114026,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1147,Q3330547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,historian
1148,Q569249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Q380050,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,
1150,Q5115955,Ecuador,,,,,,,,,,,Ecuador,,,,,,,,,,,,,,,,,
1151,Q482929,,,,,,,,,,,,South Korea,,,,,,,,,,,,,,,,,
1152,Q287500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Q2352129,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Q5116488,Chile,,,,,,,,,,,Chile,,,,,,,,,,,,,,,,,
1155,Q5116768,,,,,,,,,,,,,,,,,,,,,party,,,,,,,,building
1156,Q2901338,,,,,,,,,,dedication,,United States,,,,,,,,,,,,,,,,,
1157,Q355493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musician
1158,Q257513,,,,,,,,,,,,Spain,,,,Navarrese Way,,,,,,,,,,,,,
1159,Q515595,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,
1160,Q16958306,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1161,Q1539016,,,,,,,,,,,,,,,,,,,,,,,Christianity,,,,,,ritual
1162,Q18164476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Q787928,,,,,,,,,,,,,朱丝贵竹,,,,,,,,,,,,,,,,Plantae
1164,Q2967708,,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,
1165,Q1091366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poetry
1166,Q1541,,,,,,Academic skepticism,,,,exile,,,,,,,,,,,,,ancient Roman religion,,,,,,
1167,Q5119747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Q5119787,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,
1169,Q2444993,Turkey,,,,,,,,,,,,,,,Turkish cuisine,Çiğ köfte,,,,,,,,,,,,lamb dish
1170,Q5119905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building
1171,Q30919076,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,
1172,Q1092472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Q3677141,,,,,,,Christmas film,,,,,,,,,,,,,,,,,,,,,,comedy film
1174,Q5120874,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1175,Q5120891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Q1790835,Italy,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,confection
1177,Q6008497,Turkey,,,,,,,,,,,,,,,Turkish cuisine,,,,,,,,,,,,,chicken dish
1178,Q2734140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ritual
1179,Q504715,,,,,,,,,,bankruptcy,,Canada,,,,,Cirque du Soleil,,,,,,,,,,,,
1180,Q117848135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multi-sport event
1181,Q5273,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,
1182,Q181922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musician
1183,Q17001824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Q81513,,,,,,,,,,,,,citrus,,,,,,,,,,,,,,,,tree
1185,Q1468524,,,,,,,,,,,,,,,,human settlement,,,,,,,,,,,,,neighborhood
1186,Q4286337,,,,,,,,,,,,,,,,city,,,,,,,,,,,,,administrative territorial entity
1187,Q2394278,,,,,,Beat Generation,,,,,,United States,,,,,,,,,,,,,,,,,
1188,Q494721,,,,,,,,,,,,Japan,,,,,市,,,,,,,,,,,,city
1189,Q104157,,,,,,,,,,,,Philippines,,,,,,,,,,,,,,,,,city
1190,Q925381,,,,,,,,,,,,Poland,,,,,,,,,,,,,,,,,city
1191,Q5124465,,,,,,,,,,,,,,,,,,,,,civil protection,,,,,,,,bunker
1192,Q610368,,,,,,,,,,,,Israel,,,,,המשמר האזרחי,,,,,,,,,,,,
1193,Q222249,,,,,,,,,,,,,,,,private law,,,,,,,,,,,,,law
1194,Q19406629,,,,,,,,,,,,Ukraine,,,,,,,,,,,,,,,,,government agency
1195,Q26198154,,Ancient Rome,,,,,,,,,,Ancient Rome,,,,,,,,,,,,,,,,,city
1196,Q5124833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Q2037332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building material
1198,Q2700326,,,,,,,,,,,,,yellowwood,,,,,,,,,,,,,,,,tree
1199,Q178508,,,,,,,,,,,,Switzerland,,,,,Clarens,,,,,,,,,,,,
1200,Q2117603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jewish literature
1201,Q24067349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guitarist
1202,Q81729632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musician
1203,Q61996187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pianist
1204,Q5128439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,magazine
1205,Q116313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Q12801,,,,,,Esperanto movement,,,,,,,,,,,,,,,,,,,,,,,
1207,Q76717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Q361750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Q870889,,,,,,,,,,,,,,,,,,,,,clay animation film,,,,,,,,stop-motion
1210,Q5130055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Q5130059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shooting sport
1212,Q5130115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Q1727953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fish
1214,Q5130888,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,drink
1215,Q5130627,,,,,,,,,,,,United States,,,,,,,,,parental controls,,,,,,,,
1216,Q1460693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river
1217,Q84902,,,,,,,,,,,,,,,,,,,,,,,,Fatherland Front,,,,,
1218,Q85765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Q4430,United States,,,,,,drama film,,,principal photography,Rome,,,,,,,,,,,,,,,,,,
1220,Q86135347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,athlete
1221,Q5133666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports club
1222,Q2904166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biologist
1223,Q5133821,,,,,,,,,,,,United Kingdom,,,,National Health Service,,,,,,,,,,,,,government agency
1224,Q338401,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,Kalaallit Nunaat,,building of pleasure and sporting boats
1225,Q5134394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tradition
1226,Q488656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,folk dance
1227,Q1141132,United States,,,,English,,,cloning,,,,,,,,,,,,,,,,,,,,,
1228,Q85752994,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,
1229,Q5135569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clothing
1230,Q263516,,,,,,,,Ancient Egypt,,,,,,,,,,,,,,,,,,,,,clothing
1231,Q17069529,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,clothing
1232,Q370563,,,,,,,,,,,,,,,,cloud computing,,,,,,,,,,,,,information security
1233,Q472616,,,,,,,,,,,,,pexe payasu,,,,,,,,,,,,,,,,fish
1234,Q327172,,,,,,,,,,,,Argentina,,,,,Club Atlético Huracán,,,,,,,,,,,,
1235,Q18640,,,,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,
1236,Q17479,,,,,,,,,,,,Brazil,,,,,Clube de Regatas do Flamengo,,,,,,,,,,,,
1237,Q122223315,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1238,Q28503947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musical group
1239,Q1734300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,automobile manufacturer
1240,Q889872,,,,,,,,,,,,United States,,,,,Coachella,,,,,,,,,,,,
1241,Q837416,,,,,,,,,,,,,,,,politics,,,,,,,,,,,,,government
1242,Q698822,,,,,,,,,,,,Taiwan,,,,,,,,,,,,,,,,,government agency
1243,Q5138349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fish
1244,Q5139086,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Q2536027,,,,,,,,,,,,,,,,contemporary witchcraft,,,,,,,,,,,,,modern paganism
1246,Q868158,Spain,,,,,,,,,,,,,,,,cocido,Portuguese cuisine,,,,,,,,,,,food
1247,Q581701,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,food
1248,Q927982,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,food
1249,Q13408013,,,,,,,,,,,,Vietnam,,,,,,,,,,,,,,,,,
1250,Q2149005,,,,,,,,,,,,Nigeria,,,,,,,,,eating,,,,,,,,
1251,Q2119819,,,,,,,,conduct,,,,,,,,contract,,,,,,,,,,,,,document
1252,Q705693,,,,,Sumerian,,,,,,,,,,,,,,,,,,,,,,,,
1253,Q1106827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book
1254,Q693348,,,,,,,,,,,,United States,,United States,,,,,,,,,,,,,,,
1255,Q32734,Belgium,,,,,,action film,seamanship,,,France,,,,,,,,,,,,,,,,,,
1256,Q45188,United Kingdom,,,,,,alternative rock,,,,,,,,,,,,,,,,,,,,,,
1257,Q5142600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fish
1258,Q975501,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Q542637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Q5145765,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1261,Q3039596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,law
1262,Q4230425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book
1263,Q3394684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,policy
1264,Q5146583,,,,,,,,,,,,,,,,youth sports,,,,,,,,,,,,,sport
1265,Q1187811,,,,,,,,,,,,,,,,,,,,university,,,,,,,,,city
1266,Q478585,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,
1267,Q29044421,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,
1268,Q5147815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clothing
1269,Q120450,,,,,,,,,,,,,,,,,,,,,,,Christian,,,,,,
1270,Q849194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,television
1271,Q1111648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comics artist
1272,Q79209169,,,,,,,,,,,,,,,,newspaper,,,,,,,,,,,,,magazine
1273,Q4817,,,,,,,,,,,,,,,,building,,,,,,,,,,,,,architectural element
1274,Q285236,,Byzantine Empire,,,,,,,,,,Turkey,,,,,,,,,,,,,,,,,
1275,Q1086863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writer
1276,Q5150595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,Q821499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sculpture
1278,Q1048584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transport
1279,Q81123,,,,,,,,,,,,Portugal,,,,,,,Iberian Peninsula,,,,,,,,,,
1280,Q1753972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Q5151421,,,,,,,comedy,,,,,,,,,,,,,,,,,,,,,,play
1282,Q157443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
1283,Q5151496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comedy
1284,Q1760610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,book
1285,Q98608820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comics
1286,Q14406742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comics
1287,Q838795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comics
1288,Q1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narrative
1289,Q867242,,,,,,,,comics,,,,,,,,,,,,,,,,,,,,,magazine
1290,Q4971317,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,comics
1291,Q1114502,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,comics
1292,Q3906957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poetry
1293,Q17222692,,,,,,,,,,,,Japan,,,,,コミックス・ウェーブ・フィルム,,,,,,,,,,,,
1294,Q1133961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neighborhood
1295,Q748612,,,,,,,,,,,,,,Quebec,,,,,,,,,,,,,,,
1296,Q2986806,,,,,,,,,,,,British North America,,,,,,,,,,,,,,,,,government
1297,Q4229709,,,,,,,,,,,,Russian Empire,,,,,,,,,,,,,,,,,
1298,Q30216,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,law
1299,Q171497,,,,,,,,,,,,,sunflower,,,,,,,,fiber,,,,,,,,Plantae
1300,Q5153501,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1301,Q5153956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tradition
1302,Q11955723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tradition
1303,Q2993765,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,
1304,Q234277,,,,,,,,,,,,India,,,,,भारत की कम्युनिस्ट पार्टी (मार्क्सवादी),,,,,communism,,,,,,,
1305,Q256414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,law
1306,Q3627322,,,,,,,,,,,,United Kingdom,,United Kingdom,,,,,,,,,,,,,,,juridical person
1307,Q860582,,,,,,,,,,,,United States,,Chicago,,,,,,,,,,,,,,,neighborhood
1308,Q1500610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
1309,Q28134320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,museum
1310,Q1800684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theatre performance
1311,Q676230,,,,,,,,,,,,Switzerland,,,,,,,Lake Geneva,,,,,,,,,,
1312,Q1459574,,,,,,,,,,,,,,,,non-fiction literature,,,,,,,,,,,,,book
1313,Q107690317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,athlete
1314,Q326498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,law
1315,Q16004431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,athlete
1316,Q455315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
1317,Q2514392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Q5156823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,architectural structure
1319,Q22909321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Q2925636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building material
1321,Q105580397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philosophy
1322,Q1401416,,,,,,,,,,,,,,,,,,,,,computer-animated film,,,,,,,,animation
1323,Q16950797,,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,
1324,Q911345,,,,,,,,short film,,,,Japan,,,,,,,,,,,,,,,,,
1325,Q5158398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,musical
1326,Q3031119,,,,,,,,,,,,Netherlands,,,,,,,,,,,,,,,,,music festival
1327,Q430525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,film
1328,Q5158530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,Q691031,,,,,,,,,,,,,,,,orchestra,,,,,,,,,,,,,musician
1330,Q5158944,Peru,,,,,,,,,,,Peru,,,,Peruvian cuisine,,,,,,,,,,,,,drink
1331,Q766952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,building material
1332,Q596594,,,,,,modernism,,,,,,,,,,concretism,,,,,,,,,,,,,poetry
1333,Q1124813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ritual
1334,Q736415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,artist
1335,Q1125196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poetry
1336,Q214802,,,,,,,,,,,,,,,,,,,,,,,Lutheranism,,,,,,confirmation
1337,Q723748,,,,,,,,,,,,,,,,watercourse,,,,,,,,,,,,,geographic location
1338,Q9581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern philosophy
1339,Q3513409,,,,,,,,,,,,Belgium,,,,,,,,,,,,,,,,,
1340,Q1671747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mountain
1341,Q5161769,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,
1342,Q5659,,,,,,classical music,,,,,,,,,,,,,,,,,,,,,,,
1343,Q2669585,,,,,,,,,,,,Spain,,Val d'Aran,,,,,,,,,,,,,,,
1344,Q5163108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political party
